わたし達,わたしたち
姉,あね
喜び,よろこび
下ろす,おろす
花火,はなび
我々,われわれ
風呂,ふろ
苦労,くろう
香り,かおり
破る,やぶる
鉛筆,えんぴつ
増やす,ふやす
隣,となり
久しぶり,ひさしぶり
渡る,わたる
死体,したい
,すでに
国境,こっきょう
,まもなく
分かりにくい,わかりにくい
影,かげ
付き合う,つきあう
,あそこ
保証,ほしょう
弁当,べんとう
猿,さる
傷,きず
飛ぶ,とぶ
,ダメ
当たる,あたる
抑える,おさえる
元,もと
,どうしよう
,おばあさん
祭り,まつり
項目,こうもく
匹,ひき
,マイナス
,カレー
,タオル
作曲,さっきょく
感動,かんどう
疑う,うたがう
離婚,りこん
動作,どうさ
見解,けんかい
主婦,しゅふ
混乱,こんらん
瞬間,しゅんかん
整理,せいり
体制,たいせい
回答,かいとう
,ゴルフ
歓迎,かんげい
郊外,こうがい
,いわゆる
,いらっしゃる
当日,とうじつ
会計,かいけい
好き,すき
観客,かんきゃく
,テスト
急行,きゅうこう
風邪,かぜ
援助,えんじょ
採用,さいよう
最終,さいしゅう
豊富,ほうふ
証明,しょうめい
中心,ちゅうしん
汚れる,よごれる
吸収,きゅうしゅう
運用,うんよう
夜中,よなか
資格,しかく
緊張,きんちょう
正午,しょうご
症状,しょうじょう
結ぶ,むすぶ
入場,にゅうじょう
,イタリア
本名,ほんみょう
呼吸,こきゅう
異常,いじょう
解放,かいほう
発達,はったつ
直前,ちょくぜん
爆発,ばくはつ
職員,しょくいん
先週,せんしゅう
活躍,かつやく
方針,ほうしん
低下,ていか
発明,はつめい
才能,さいのう
当たり,あたり
想像,そうぞう
直後,ちょくご
支払う,しはらう
誤解,ごかい
調子,ちょうし
面積,めんせき
施設,しせつ
装置,そうち
解釈,かいしゃく
形式,けいしき
似る,にる
偶然,ぐうぜん
中年,ちゅうねん
石油,せきゆ
調整,ちょうせい
対策,たいさく
遊ぶ,あそぶ
加える,くわえる
修正,しゅうせい
需要,じゅよう
信じる,しんじる
予想,よそう
修理,しゅうり
殺人,さつじん
下手,へた
に関して,にかんして
倍,ばい
屋上,おくじょう
心,こころ
賛成,さんせい
,くれる
登録,とうろく
外部,がいぶ
不正,ふせい
重視,じゅうし
移す,うつす
治療,ちりょう
新幹線,しんかんせん
,はず
内部,ないぶ
正確,せいかく
育つ,そだつ
対立,たいりつ
印刷,いんさつ
解散,かいさん
公共,こうきょう
常識,じょうしき
勢い,いきおい
心臓,しんぞう
一方,いっぽう
提供,ていきょう
出生,しゅっしょう
延長,えんちょう
,バイク
郵便,ゆうびん
著者,ちょしゃ
,インド
歩道,ほどう
働く,はたらく
前後,ぜんご
正直,しょうじき
美人,びじん
義務,ぎむ
,こんばんは
描く,えがく
有利,ゆうり
迫る,せまる
一致,いっち
恋人,こいびと
甘い,あまい
来週,らいしゅう
前者,ぜんしゃ
上,うえ
防止,ぼうし
実力,じつりょく
,とにかく
警官,けいかん
,だった
イタリア語,イタリアご
,どうも
,もしもし
,どうしたらいい
休み中,やすみちゅう
全体的,ぜんたいてき
五百円,ごひゃくえん
,どうやって
勝負,しょうぶ
与える,あたえる
奪う,うばう
腹,はら
講師,こうし
扱う,あつかう
現実的,げんじつてき
地名,ちめい
交番,こうばん
不幸,ふこう
天国,てんごく
門,もん
訳す,やくす
応援,おうえん
達する,たっする
下着,したぎ
講演,こうえん
減少,げんしょう
大幅,おおはば
定員,ていいん
板,いた
俳優,はいゆう
,いいとも
,ポケット
男の人,おとこのひと
刺激,しげき
返事,へんじ
組む,くむ
区別,くべつ
購入,こうにゅう
停止,ていし
電力,でんりょく
区,く
通勤,つうきん
景気,けいき
貯金,ちょきん
働き,はたらき
回す,まわす
書店,しょてん
通知,つうち
,タイヤ
課長,かちょう
規定,きてい
肌,はだ
発電,はつでん
帰る,かえる
,ボーナス
故障,こしょう
一見,いっけん
図る,はかる
優秀,ゆうしゅう
体重,たいじゅう
結論,けつろん
互い,たがい
厚い,あつい
透明,とうめい
導入,どうにゅう
図書,としょ
資源,しげん
化粧,けしょう
特色,とくしょく
頑張る,がんばる
資産,しさん
負担,ふたん
宿題,しゅくだい
成果,せいか
資金,しきん
囲む,かこむ
,しばらく
独特,どくとく
相互,そうご
水準,すいじゅん
,までに
非常に,ひじょうに
世紀,せいき
成人,せいじん
愛情,あいじょう
学部,がくぶ
滞在,たいざい
外交,がいこう
回転,かいてん
血液,けつえき
予防,よぼう
危機,きき
小学生,しょうがくせい
回数,かいすう
